"InstanceType","InstanceFamily","ProcessorVCPUCount","MemorySizeInMB","ProcessorArchitecture","PricePerHour","GPUCount","GPUName","GPUMemoryInMB","ProcessorDefaultCores"
"m8ib.48xlarge","General purpose",192,768,"x86_64","16.0397",0,"",0,96
"m8ib.metal-48xl","General purpose",192,768,"x86_64","16.0397",0,"",0,96
"m8ib.96xlarge","General purpose",384,1536,"x86_64","32.0794",0,"",0,192
"m8ib.metal-96xl","General purpose",384,1536,"x86_64","32.0794",0,"",0,192
"m8id.large","General purpose",2,8,"x86_64","0.1305",0,"",0,1
"m8id.xlarge","General purpose",4,16,"x86_64","0.2610",0,"",0,2
"m8id.2xlarge","General purpose",8,32,"x86_64","0.5221",0,"",0,4
"m8id.4xlarge","General purpose",16,64,"x86_64","1.0442",0,"",0,8
"m8id.8xlarge","General purpose",32,128,"x86_64","2.0883",0,"",0,16
"m8id.12xlarge","General purpose",48,192,"x86_64","3.1325",0,"",0,24
"m8id.16xlarge","General purpose",64,256,"x86_64","4.1766",0,"",0,32
"m8id.24xlarge","General purpose",96,384,"x86_64","6.2650",0,"",0,48
"m8id.32xlarge","General purpose",128,512,"x86_64","8.3533",0,"",0,64
"m8id.48xlarge","General purpose",192,768,"x86_64","12.5299",0,"",0,96
"m8id.metal-48xl","General purpose",192,768,"x86_64","12.5299",0,"",0,96
"m8id.96xlarge","General purpose",384,1536,"x86_64","25.0598",0,"",0,192
"m8id.metal-96xl","General purpose",384,1536,"x86_64","25.0598",0,"",0,192
"m8idb.large","General purpose",2,8,"x86_64","0.1909",0,"",0,1
"m8idb.xlarge","General purpose",4,16,"x86_64","0.3819",0,"",0,2
"m8idb.2xlarge","General purpose",8,32,"x86_64","0.7638",0,"",0,4
"m8idb.4xlarge","General purpose",16,64,"x86_64","1.5275",0,"",0,8
"m8idb.8xlarge","General purpose",32,128,"x86_64","3.0550",0,"",0,16
"m8idb.12xlarge","General purpose",48,192,"x86_64","4.5826",0,"",0,24
"m8idb.16xlarge","General purpose",64,256,"x86_64","6.1101",0,"",0,32
"m8idb.24xlarge","General purpose",96,384,"x86_64","9.1651",0,"",0,48
"m8idb.32xlarge","General purpose",128,512,"x86_64","12.2202",0,"",0,64
"m8idb.48xlarge","General purpose",192,768,"x86_64","18.3302",0,"",0,96
"m8idb.metal-48xl","General purpose",192,768,"x86_64","18.3302",0,"",0,96
"m8idb.96xlarge","General purpose",384,1536,"x86_64","36.6605",0,"",0,192
"m8idb.metal-96xl","General purpose",384,1536,"x86_64","36.6605",0,"",0,192
"m8idn.large","General purpose",2,8,"x86_64","0.1909",0,"",0,1
"m8idn.xlarge","General purpose",4,16,"x86_64","0.3819",0,"",0,2
"m8idn.2xlarge","General purpose",8,32,"x86_64","0.7638",0,"",0,4
"m8idn.4xlarge","General purpose",16,64,"x86_64","1.5275",0,"",0,8
"m8idn.8xlarge","General purpose",32,128,"x86_64","3.0550",0,"",0,16
"m8idn.12xlarge","General purpose",48,192,"x86_64","4.5826",0,"",0,24
"m8idn.16xlarge","General purpose",64,256,"x86_64","6.1101",0,"",0,32
"m8idn.24xlarge","General purpose",96,384,"x86_64","9.1651",0,"",0,48
"m8idn.32xlarge","General purpose",128,512,"x86_64","12.2202",0,"",0,64
"m8idn.48xlarge","General purpose",192,768,"x86_64","18.3302",0,"",0,96
"m8idn.metal-48xl","General purpose",192,768,"x86_64","18.3302",0,"",0,96
"m8idn.96xlarge","General purpose",384,1536,"x86_64","36.6605",0,"",0,192
"m8idn.metal-96xl","General purpose",384,1536,"x86_64","36.6605",0,"",0,192
"m8in.large","General purpose",2,8,"x86_64","0.1671",0,"",0,1
"m8in.xlarge","General purpose",4,16,"x86_64","0.3342",0,"",0,2
"m8in.2xlarge","General purpose",8,32,"x86_64","0.6683",0,"",0,4
"m8in.4xlarge","General purpose",16,64,"x86_64","1.3366",0,"",0,8
"m8in.8xlarge","General purpose",32,128,"x86_64","2.6733",0,"",0,16
"m8in.12xlarge","General purpose",48,192,"x86_64","4.0099",0,"",0,24
"m8in.16xlarge","General purpose",64,256,"x86_64","5.3466",0,"",0,32
"m8in.24xlarge","General purpose",96,384,"x86_64","8.0198",0,"",0,48
"m8in.32xlarge","General purpose",128,512,"x86_64","10.6931",0,"",0,64
"m8in.48xlarge","General purpose",192,768,"x86_64","16.0397",0,"",0,96
"m8in.metal-48xl","General purpose",192,768,"x86_64","16.0397",0,"",0,96
"m8in.96xlarge","General purpose",384,1536,"x86_64","32.0794",0,"",0,192
"m8in.metal-96xl","General purpose",384,1536,"x86_64","32.0794",0,"",0,192
"m8ine.large","General purpose",2,8,"x86_64","0.2089",0,"",0,1
"m8ine.xlarge","General purpose",4,16,"x86_64","0.4177",0,"",0,2
"m8ine.2xlarge","General purpose",8,32,"x86_64","0.8354",0,"",0,4
"m8ine.4xlarge","General purpose",16,64,"x86_64","1.6708",0,"",0,8
"m8ine.8xlarge","General purpose",32,128,"x86_64","3.3416",0,"",0,16
"m8ine.12xlarge","General purpose",48,192,"x86_64","5.0124",0,"",0,24
"p3dn.24xlarge","GPU instance",96,768,"x86_64","31.2120",8,"V100",32,48
"p4d.24xlarge","GPU instance",96,1152,"x86_64","21.9576",8,"A100",40,48
"p4de.24xlarge","GPU instance",96,1152,"x86_64","27.4471",8,"A100",80,48
"p5.4xlarge","GPU instance",16,256,"x86_64","n/a",1,"H100",80,8
"p5.48xlarge","GPU instance",192,2048,"x86_64","n/a",8,"H100",80,96
"p5en.48xlarge","GPU instance",192,2048,"x86_64","63.2960",8,"H200",141,96
"p6-b200.48xlarge","GPU instance",192,2048,"x86_64","n/a",8,"B200",179.06,96
"p6-b300.48xlarge","GPU instance",192,4096,"x86_64","142.4160",8,"B300",268.59,96
"r3.large","Memory optimized",2,15.25,"x86_64","0.1660",0,"",0,1
"r3.xlarge","Memory optimized",4,30.5,"x86_64","0.3330",0,"",0,2
"r3.2xlarge","Memory optimized",8,61,"x86_64","0.6650",0,"",0,4
"r3.4xlarge","Memory optimized",16,122,"x86_64","1.3300",0,"",0,8
"r3.8xlarge","Memory optimized",32,244,"x86_64","2.6600",0,"",0,16
"r4.large","Memory optimized",2,15.25,"x86_64","0.1330",0,"",0,1
"r4.xlarge","Memory optimized",4,30.5,"x86_64","0.2660",0,"",0,2
"r4.2xlarge","Memory optimized",8,61,"x86_64","0.5320",0,"",0,4
